index	Subject	Session	Mean Physics Retrieval Accuracy	Mean Correct RT	Mean Incorrect RT	Gender	Class	Gender And Class
104	460	post	0.6666666666666666	4658.5	4376.0	F	Modeling	Modeling F
105	462	pre	0.8333333333333334	4340.1	4386.25	F	Lecture	Lecture F
106	462	post	0.9166666666666666	4210.272727272727	2542.5	F	Lecture	Lecture F
107	463	pre	0.75	4034.3888888888887	3196.0	M	Lecture	Lecture M
108	463	post	0.8333333333333334	4159.5	4410.25	M	Lecture	Lecture M
109	464	pre	0.8333333333333334	4545.25	2535.25	M	Lecture	Lecture M
110	464	post	0.875	4552.0	3876.3333333333335	M	Lecture	Lecture M
111	465	pre	0.4583333333333333	5298.636363636364	1784.5384615384614	F	Modeling	Modeling F
112	465	post	0.6666666666666666	4710.6875	675.25	F	Modeling	Modeling F
113	467	pre	0.75	4229.333333333333	4817.666666666667	M	Lecture	Lecture M
114	467	post	0.875	3893.190476190476	3077.6666666666665	M	Lecture	Lecture M
115	468	pre	0.625	4083.733333333333	3038.3333333333335	M	Lecture	Lecture M
116	468	post	0.7083333333333334	4206.35294117647	3122.1428571428573	M	Lecture	Lecture M
117	469	pre	0.7083333333333334	4324.470588235294	4550.285714285715	M	Modeling	Modeling M
118	469	post	0.8333333333333334	3936.5	3350.5	M	Modeling	Modeling M
119	470	pre	0.75	4199.5	4897.666666666667	M	Lecture	Lecture M
120	470	post	0.7083333333333334	3791.235294117647	4281.142857142857	M	Lecture	Lecture M
121	502	pre	0.5833333333333334	4548.928571428572	3414.5	F	Modeling	Modeling F
122	502	post	0.875	4110.857142857143	1535.6666666666667	F	Modeling	Modeling F
123	503	pre	0.75	4217.888888888889	5388.5	M	Modeling	Modeling M
124	503	post	0.875	4036.2380952380954	1715.6666666666667	M	Modeling	Modeling M
125	571	pre	0.5416666666666666	3764.923076923077	4476.0	M	Modeling	Modeling M
126	571	post	0.75	4026.3888888888887	4418.166666666667	M	Modeling	Modeling M
127	572	pre	0.6666666666666666	4407.4375	3305.75	F	Modeling	Modeling F
128	572	post	0.75	4561.611111111111	3130.3333333333335	F	Modeling	Modeling F
129	573	pre	0.5	4551.583333333333	3457.0833333333335	F	Modeling	Modeling F
130	573	post	0.5833333333333334	4676.928571428572	1900.9	F	Modeling	Modeling F
131	574	pre	0.8333333333333334	4467.3	3865.75	F	Lecture	Lecture F
132	574	post	0.7916666666666666	4027.2631578947367	3029.4	F	Lecture	Lecture F
134	577	pre	0.8333333333333334	4277.95	4867.5	M	Lecture	Lecture M
135	577	post	0.875	3385.095238095238	1578.3333333333333	M	Lecture	Lecture M
136	578	pre	0.8333333333333334	4091.6	3630.25	M	Modeling	Modeling M
137	578	post	0.8333333333333334	4208.7	2110.5	M	Modeling	Modeling M
140	581	pre	0.8333333333333334	4072.4	5100.25	M	Lecture	Lecture M
141	581	post	1.0	3662.8333333333335		M	Lecture	Lecture M
142	582	pre	0.5416666666666666	4692.692307692308	3975.181818181818	F	Modeling	Modeling F
143	582	post	0.8333333333333334	4564.3	3797.25	F	Modeling	Modeling F
144	584	pre	0.5	4605.75	4272.333333333333	F	Modeling	Modeling F
145	584	post	0.5416666666666666	4366.846153846154	4086.2727272727275	F	Modeling	Modeling F
146	585	pre	0.5833333333333334	4570.285714285715	1535.8	M	Modeling	Modeling M
147	585	post	0.9166666666666666	4337.545454545455	2595.5	M	Modeling	Modeling M
148	586	pre	0.6666666666666666	4804.0625	1649.875	M	Lecture	Lecture M
149	586	post	0.75	4675.666666666667	909.6666666666666	M	Lecture	Lecture M
150	587	pre	0.5833333333333334	4025.9285714285716	3851.5	M	Lecture	Lecture M
151	587	post	0.75	4510.833333333333	3435.6666666666665	M	Lecture	Lecture M
152	588	pre	0.5416666666666666	4255.384615384615	3617.2727272727275	F	Lecture	Lecture F
153	588	post	0.75	4077.9444444444443	2987.3333333333335	F	Lecture	Lecture F
154	589	pre	0.6666666666666666	4502.5625	5342.0	F	Modeling	Modeling F
155	589	post	0.7916666666666666	3609.684210526316	4284.6	F	Modeling	Modeling F
157	591	pre	0.625	4203.6	2277.0	F	Modeling	Modeling F
158	591	post	0.625	4053.133333333333	3112.5555555555557	F	Modeling	Modeling F
159	592	pre	0.875	3418.809523809524	2837.6666666666665	F	Lecture	Lecture F
160	592	post	0.7916666666666666	3908.9473684210525	4955.6	F	Lecture	Lecture F
161	593	pre	0.75	4175.055555555556	3621.6666666666665	F	Lecture	Lecture F
162	593	post	0.8333333333333334	3530.8	4285.75	F	Lecture	Lecture F
163	594	pre	0.7083333333333334	4523.823529411765	4911.428571428572	M	Modeling	Modeling M
164	594	post	0.8333333333333334	3807.95	3541.75	M	Modeling	Modeling M
165	595	pre	0.5833333333333334	4858.642857142857	3794.3	M	Modeling	Modeling M
166	595	post	0.7083333333333334	4995.411764705882	4018.8571428571427	M	Modeling	Modeling M
167	596	pre	0.8333333333333334	4709.45	1563.25	M	Modeling	Modeling M
168	596	post	0.8333333333333334	4202.65	1239.25	M	Modeling	Modeling M
169	597	pre	0.5833333333333334	4831.0	2308.4	M	Lecture	Lecture M
170	597	post	0.6666666666666666	5066.8125	2462.0	M	Lecture	Lecture M
171	598	pre	0.9166666666666666	3718.0	1913.5	M	Lecture	Lecture M
172	598	post	0.9583333333333334	3139.4347826086955	4449.0	M	Lecture	Lecture M
173	604	pre	0.5416666666666666	5045.076923076923	3899.3636363636365	M	Modeling	Modeling M
174	604	post	0.5416666666666666	4191.846153846154	3016.0	M	Modeling	Modeling M
175	605	pre	0.5	4481.333333333333	3699.1666666666665	F	Lecture	Lecture F
176	605	post	0.625	4583.6	3524.6666666666665	F	Lecture	Lecture F
177	606	pre	0.625	3917.3333333333335	2517.4444444444443	M	Lecture	Lecture M
178	606	post	0.9583333333333334	4053.391304347826	6056.0	M	Lecture	Lecture M
179	607	pre	0.7083333333333334	3170.529411764706	3646.8571428571427	M	Lecture	Lecture M
180	607	post	0.875	3401.7619047619046	3347.0	M	Lecture	Lecture M
181	608	pre	0.6666666666666666	4749.25	4882.625	M	Lecture	Lecture M
182	608	post	0.6666666666666666	4583.625	3595.625	M	Lecture	Lecture M
183	609	pre	0.7083333333333334	4841.882352941177	2937.714285714286	M	Modeling	Modeling M
184	609	post	0.7083333333333334	4564.058823529412	772.4285714285714	M	Modeling	Modeling M
185	610	pre	0.625	4367.2	2813.4444444444443	M	Modeling	Modeling M
186	610	post	0.75	4178.944444444444	3821.1666666666665	M	Modeling	Modeling M
188	612	pre	0.75	4580.611111111111	2650.0	M	Modeling	Modeling M
189	612	post	0.75	4258.5	4127.833333333333	M	Modeling	Modeling M
190	613	pre	0.625	4806.266666666666	2789.222222222222	M	Lecture	Lecture M
191	613	post	0.5833333333333334	4091.714285714286	3008.6	M	Lecture	Lecture M
192	614	pre	0.7916666666666666	4476.368421052632	954.4	F	Lecture	Lecture F
193	614	post	0.7916666666666666	4809.473684210527	1122.6	F	Lecture	Lecture F
194	615	pre	0.7083333333333334	4731.882352941177	3727.5714285714284	F	Lecture	Lecture F
195	615	post	0.5	4651.5	3513.8333333333335	F	Lecture	Lecture F
197	617	pre	0.7083333333333334	3792.8823529411766	1017.4285714285714	M	Lecture	Lecture M
198	617	post	0.8333333333333334	3698.95	2754.0	M	Lecture	Lecture M
199	618	pre	0.2916666666666667	5311.142857142857	3019.6470588235293	F	Modeling	Modeling F
200	618	post	0.375	5452.777777777777	4637.666666666667	F	Modeling	Modeling F
201	619	pre	0.7083333333333334	3621.0588235294117	4080.5714285714284	M	Lecture	Lecture M
202	619	post	0.7916666666666666	3373.1052631578946	3306.2	M	Lecture	Lecture M
203	620	pre	0.6666666666666666	4361.4375	4224.25	M	Modeling	Modeling M
204	620	post	0.875	4090.1428571428573	4584.333333333333	M	Modeling	Modeling M
205	621	pre	0.7916666666666666	4247.578947368421	5410.0	M	Modeling	Modeling M
206	621	post	0.9166666666666666	4279.318181818182	2158.0	M	Modeling	Modeling M
207	622	pre	0.7916666666666666	4614.9473684210525	2346.2	M	Modeling	Modeling M
208	622	post	0.6666666666666666	4238.9375	1346.875	M	Modeling	Modeling M
