	Subject	Session	Mean FCI Accuracy	Mean Control Accuracy	Mean FCI RT	Mean Control RT	Mean FCI Screen1 RT	Mean FCI Screen2 RT	Mean FCI Screen3 RT	Mean Control Screen1 RT	Mean Control Screen2 RT	Mean Control Screen3 RT	Gender	Class	Group
55	334	session-1	0.666667	1.0	19149.888889	14179.444444	6859.111111	4132.0	8158.777778	6982.666667	2501.222222	4695.555556	M	Mod	M_Mod
56	335	session-0	0.222222	1.0	20158.888889	15339.333333	7576.555556	6065.222222	6517.111111	6900.666667	2778.111111	5660.555556	M	Mod	M_Mod
57	335	session-1	0.777778	1.0	21801.0	14441.111111	7194.333333	7236.888889	7369.777778	8078.0	2377.888889	3985.222222	M	Mod	M_Mod
58	336	session-0	1.0	1.0	22228.777778	17292.444444	6091.333333	4021.666667	12115.777778	6662.333333	2224.444444	8405.666667	M	Mod	M_Mod
59	336	session-1	0.777778	1.0	15273.666667	12542.111111	5527.111111	3347.666667	6398.888889	5564.333333	2188.444444	4789.333333	M	Mod	M_Mod
60	337	session-0	0.666667	0.888889	14193.0	10653.333333	4453.222222	3600.333333	6139.444444	4634.333333	1903.777778	4115.222222	M	Mod	M_Mod
61	337	session-1	0.777778	1.0	19460.222222	12440.444444	4492.444444	3716.666667	11251.111111	4447.111111	1918.0	6075.333333	M	Mod	M_Mod
62	338	session-0	0.777778	1.0	16855.666667	15072.555556	6754.111111	4459.222222	5642.333333	6478.0	3138.888889	5455.666667	M	Mod	M_Mod
63	338	session-1	0.777778	1.0	15716.111111	13273.222222	6157.0	4308.444444	5250.666667	6170.444444	2620.222222	4482.555556	M	Mod	M_Mod
64	339	session-0	0.444444	1.0	24915.444444	20032.111111	8031.333333	7557.555556	9326.555556	8571.444444	3978.0	7482.666667	F	Mod	F_Mod
65	339	session-1	0.666667	1.0	20198.777778	16445.222222	6092.333333	5106.777778	8999.666667	8561.777778	3147.111111	4736.333333	F	Mod	F_Mod
66	340	session-0	0.666667	1.0	19191.777778	11099.777778	5487.888889	5656.888889	8047.0	4450.0	1908.777778	4741.0	M	Mod	M_Mod
67	340	session-1	0.666667	1.0	21403.666667	12603.111111	4661.222222	4255.666667	12486.777778	4180.666667	1535.333333	6887.111111	M	Mod	M_Mod
68	341	session-0	0.666667	1.0	18549.555556	17736.888889	6817.0	4861.111111	6871.444444	7818.666667	3035.555556	6882.666667	M	Mod	M_Mod
69	341	session-1	0.888889	0.888889	17734.555556	16944.666667	6706.444444	4635.888889	6392.222222	6817.222222	3767.666667	6359.777778	M	Mod	M_Mod
70	342	session-0	0.444444	1.0	25366.0	14794.666667	7771.0	6000.0	11595.0	6352.777778	2353.555556	6088.333333	F	Mod	F_Mod
71	342	session-1	0.555556	1.0	20427.555556	12237.777778	5892.888889	7219.444444	7315.222222	6103.111111	2217.333333	3917.333333	F	Mod	F_Mod
72	343	session-0	0.333333	1.0	18298.333333	17597.0	6619.444444	4609.666667	7069.222222	7418.555556	2805.111111	7373.333333	F	Trad	F_Trad
73	343	session-1	0.444444	1.0	23827.666667	19809.444444	8147.0	6714.111111	8966.555556	8182.0	3250.222222	8377.222222	F	Trad	F_Trad
74	344	session-0	0.222222	1.0	21426.555556	16484.777778	10223.333333	4778.333333	6424.888889	9269.777778	2231.333333	4983.666667	F	Mod	F_Mod
75	344	session-1	0.555556	1.0	20516.111111	17717.666667	8346.0	5667.333333	6502.777778	8854.444444	3140.444444	5722.777778	F	Mod	F_Mod
76	345	session-0	0.444444	0.777778	15125.222222	14306.555556	5282.333333	3727.0	6115.888889	6435.0	2868.777778	5002.777778	F	Mod	F_Mod
77	345	session-1	0.444444	1.0	21100.888889	14299.444444	5369.333333	5398.333333	10333.222222	5435.111111	2591.222222	6273.111111	F	Mod	F_Mod
78	346	session-0	0.555556	1.0	23713.111111	16856.555556	8086.666667	6277.555556	9348.888889	7394.222222	2549.888889	6912.444444	F	Mod	F_Mod
79	346	session-1	0.222222	1.0	22694.0	21526.0	7461.0	6095.333333	9137.666667	8252.444444	3502.333333	9771.222222	F	Mod	F_Mod
80	347	session-0	0.777778	0.888889	22792.111111	17133.222222	7253.111111	5643.444444	9895.555556	7972.777778	2965.333333	6195.111111	M	Mod	M_Mod
81	347	session-1	0.888889	1.0	23366.222222	17049.333333	7633.666667	5362.666667	10369.888889	7973.111111	3968.0	5108.222222	M	Mod	M_Mod
82	348	session-0	0.777778	1.0	17088.777778	12805.111111	4730.0	3388.444444	8970.333333	4972.666667	2122.666667	5709.777778	F	Trad	F_Trad
83	348	session-1	1.0	1.0	19948.777778	12753.777778	4718.666667	4504.888889	10725.222222	5021.555556	1989.111111	5743.111111	F	Trad	F_Trad
84	349	session-0	0.555556	1.0	23730.111111	13987.333333	7516.777778	7500.444444	8712.888889	7090.555556	2889.777778	4007.0	F	Trad	F_Trad
85	349	session-1	0.555556	1.0	17294.0	10681.555556	6098.333333	4686.444444	6509.222222	4341.555556	1995.222222	4344.777778	F	Trad	F_Trad
86	350	session-0	0.222222	1.0	23749.111111	16484.444444	7433.888889	5745.777778	10569.444444	7025.666667	3621.555556	5837.222222	F	Mod	F_Mod
87	350	session-1	0.666667	1.0	21302.777778	15859.555556	6856.555556	5700.111111	8746.111111	7832.222222	3590.222222	4437.111111	F	Mod	F_Mod
88	451	session-0	0.444444	1.0	16098.888889	14794.555556	5550.555556	3819.111111	6729.222222	5736.444444	2624.666667	6433.444444	M	Mod	M_Mod
89	451	session-1	0.777778	1.0	17372.444444	11905.333333	5059.222222	5633.333333	6679.888889	5111.444444	2037.111111	4756.777778	M	Mod	M_Mod
90	452	session-0	0.444444	1.0	21371.555556	16800.444444	7963.555556	5227.444444	8180.555556	7413.333333	3583.222222	5803.888889	F	Trad	F_Trad
91	453	session-0	0.555556	0.888889	17173.222222	15915.333333	6328.777778	4060.555556	6783.888889	6924.111111	2857.444444	6133.777778	M	Trad	M_Trad
92	453	session-1	0.666667	1.0	20130.111111	14324.333333	6740.888889	4063.333333	9325.888889	7133.777778	2013.777778	5176.777778	M	Trad	M_Trad
93	455	session-0	0.333333	0.888889	31252.666667	20367.0	8713.444444	6228.333333	16310.888889	9078.555556	3456.222222	7832.222222	F	Mod	F_Mod
94	455	session-1	0.666667	0.888889	16720.777778	15692.555556	6361.777778	4268.333333	6090.666667	7206.333333	3512.333333	4973.888889	F	Mod	F_Mod
95	456	session-0	0.222222	1.0	16339.333333	10771.666667	6064.666667	4907.555556	5367.111111	5197.666667	2206.666667	3367.333333	F	Trad	F_Trad
96	457	session-0	0.666667	1.0	25412.888889	22878.444444	7841.333333	5750.666667	11820.888889	7677.333333	4303.444444	10897.666667	M	Trad	M_Trad
97	457	session-1	0.666667	1.0	20335.222222	19119.222222	5856.777778	6059.222222	8419.222222	5956.555556	3435.444444	9727.222222	M	Trad	M_Trad
98	458	session-0	0.333333	0.888889	22636.111111	18664.0	8899.0	6226.666667	7510.444444	8824.222222	3105.555556	6734.222222	F	Trad	F_Trad
99	458	session-1	0.555556	1.0	25381.555556	18169.555556	8946.888889	6925.888889	9508.777778	9185.555556	3243.777778	5740.222222	F	Trad	F_Trad
100	459	session-0	0.444444	1.0	17589.444444	14092.111111	6631.777778	4081.222222	6876.444444	5822.555556	2699.111111	5570.444444	M	Mod	M_Mod
101	459	session-1	0.888889	1.0	20500.555556	15756.111111	5296.0	6148.333333	9056.222222	5718.111111	3632.111111	6405.888889	M	Mod	M_Mod
102	460	session-0	0.222222	0.888889	18882.444444	17644.111111	6973.555556	5351.222222	6557.666667	6860.555556	3578.222222	7205.333333	F	Mod	F_Mod
103	460	session-1	0.444444	1.0	16520.333333	12294.666667	6452.555556	4421.0	5646.777778	5126.0	2655.111111	4513.555556	F	Mod	F_Mod
104	462	session-0	0.222222	1.0	18608.333333	15918.111111	5339.333333	5094.777778	8174.222222	5024.555556	2172.0	8721.555556	F	Trad	F_Trad
105	462	session-1	0.222222	1.0	11583.666667	12299.777778	4368.888889	2808.777778	4406.0	4577.111111	1184.0	6538.666667	F	Trad	F_Trad
106	463	session-0	0.444444	1.0	22233.777778	12759.222222	5673.444444	4774.333333	11786.0	5269.777778	1901.444444	5588.0	M	Trad	M_Trad
107	463	session-1	0.777778	1.0	15884.0	10585.0	4207.333333	2833.666667	8843.0	4987.222222	1607.555556	3990.222222	M	Trad	M_Trad
108	464	session-0	0.444444	1.0	28282.666667	21712.0	9425.888889	6605.666667	12251.111111	8453.333333	3721.888889	9536.777778	M	Trad	M_Trad
109	464	session-1	0.444444	0.888889	17531.0	18504.555556	6672.888889	4812.777778	6045.333333	7419.444444	3343.111111	7742.0	M	Trad	M_Trad
110	465	session-0	0.111111	1.0	25484.777778	19612.111111	7207.777778	6851.444444	11425.555556	7087.222222	3277.111111	9247.777778	F	Mod	F_Mod
111	465	session-1	0.333333	1.0	28797.888889	21241.888889	8692.0	8903.666667	11202.222222	8197.777778	3342.777778	9701.333333	F	Mod	F_Mod
