	Subject	Session	Mean FCI Accuracy	Mean Control Accuracy	Mean FCI RT	Mean Control RT	Mean FCI Screen1 RT	Mean Control Screen1 RT	Mean FCI Screen2 RT	Mean Control Screen2 RT	Mean FCI Screen3 RT	Mean Control Screen3 RT	Gender	Class	Group
73	343	session-1	0.444444	1	23827.66667	19809.44444	8147	8182	6714.111111	3250.222222	8966.555556	8377.222222	F	Trad	F_Trad
74	344	session-0	0.222222	1	21426.55556	16484.77778	10223.33333	9269.777778	4778.333333	2231.333333	6424.888889	4983.666667	F	Mod	F_Mod
75	344	session-1	0.555556	1	20516.11111	17717.66667	8346	8854.444444	5667.333333	3140.444444	6502.777778	5722.777778	F	Mod	F_Mod
76	345	session-0	0.444444	0.777778	15125.22222	14306.55556	5282.333333	6435	3727	2868.777778	6115.888889	5002.777778	F	Mod	F_Mod
77	345	session-1	0.444444	1	21100.88889	14299.44444	5369.333333	5435.111111	5398.333333	2591.222222	10333.22222	6273.111111	F	Mod	F_Mod
78	346	session-0	0.555556	1	23713.11111	16856.55556	8086.666667	7394.222222	6277.555556	2549.888889	9348.888889	6912.444444	F	Mod	F_Mod
79	346	session-1	0.222222	1	22694	21526	7461	8252.444444	6095.333333	3502.333333	9137.666667	9771.222222	F	Mod	F_Mod
80	347	session-0	0.777778	0.888889	22792.11111	17133.22222	7253.111111	7972.777778	5643.444444	2965.333333	9895.555556	6195.111111	M	Mod	M_Mod
81	347	session-1	0.888889	1	23366.22222	17049.33333	7633.666667	7973.111111	5362.666667	3968	10369.88889	5108.222222	M	Mod	M_Mod
82	348	session-0	0.777778	1	17088.77778	12805.11111	4730	4972.666667	3388.444444	2122.666667	8970.333333	5709.777778	F	Trad	F_Trad
83	348	session-1	1	1	19948.77778	12753.77778	4718.666667	5021.555556	4504.888889	1989.111111	10725.22222	5743.111111	F	Trad	F_Trad
84	349	session-0	0.555556	1	23730.11111	13987.33333	7516.777778	7090.555556	7500.444444	2889.777778	8712.888889	4007	F	Trad	F_Trad
85	349	session-1	0.555556	1	17294	10681.55556	6098.333333	4341.555556	4686.444444	1995.222222	6509.222222	4344.777778	F	Trad	F_Trad
86	350	session-0	0.222222	1	23749.11111	16484.44444	7433.888889	7025.666667	5745.777778	3621.555556	10569.44444	5837.222222	F	Mod	F_Mod
87	350	session-1	0.666667	1	21302.77778	15859.55556	6856.555556	7832.222222	5700.111111	3590.222222	8746.111111	4437.111111	F	Mod	F_Mod
88	451	session-0	0.444444	1	16098.88889	14794.55556	5550.555556	5736.444444	3819.111111	2624.666667	6729.222222	6433.444444	M	Mod	M_Mod
89	451	session-1	0.777778	1	17372.44444	11905.33333	5059.222222	5111.444444	5633.333333	2037.111111	6679.888889	4756.777778	M	Mod	M_Mod
91	453	session-0	0.555556	0.888889	17173.22222	15915.33333	6328.777778	6924.111111	4060.555556	2857.444444	6783.888889	6133.777778	M	Trad	M_Trad
92	453	session-1	0.666667	1	20130.11111	14324.33333	6740.888889	7133.777778	4063.333333	2013.777778	9325.888889	5176.777778	M	Trad	M_Trad
93	455	session-0	0.333333	0.888889	31252.66667	20367	8713.444444	9078.555556	6228.333333	3456.222222	16310.88889	7832.222222	F	Mod	F_Mod
94	455	session-1	0.666667	0.888889	16720.77778	15692.55556	6361.777778	7206.333333	4268.333333	3512.333333	6090.666667	4973.888889	F	Mod	F_Mod
96	457	session-0	0.666667	1	25412.88889	22878.44444	7841.333333	7677.333333	5750.666667	4303.444444	11820.88889	10897.66667	M	Trad	M_Trad
97	457	session-1	0.666667	1	20335.22222	19119.22222	5856.777778	5956.555556	6059.222222	3435.444444	8419.222222	9727.222222	M	Trad	M_Trad
98	458	session-0	0.333333	0.888889	22636.11111	18664	8899	8824.222222	6226.666667	3105.555556	7510.444444	6734.222222	F	Trad	F_Trad
99	458	session-1	0.555556	1	25381.55556	18169.55556	8946.888889	9185.555556	6925.888889	3243.777778	9508.777778	5740.222222	F	Trad	F_Trad
100	459	session-0	0.444444	1	17589.44444	14092.11111	6631.777778	5822.555556	4081.222222	2699.111111	6876.444444	5570.444444	M	Mod	M_Mod
101	459	session-1	0.888889	1	20500.55556	15756.11111	5296	5718.111111	6148.333333	3632.111111	9056.222222	6405.888889	M	Mod	M_Mod
102	460	session-0	0.222222	0.888889	18882.44444	17644.11111	6973.555556	6860.555556	5351.222222	3578.222222	6557.666667	7205.333333	F	Mod	F_Mod
103	460	session-1	0.444444	1	16520.33333	12294.66667	6452.555556	5126	4421	2655.111111	5646.777778	4513.555556	F	Mod	F_Mod
104	462	session-0	0.222222	1	18608.33333	15918.11111	5339.333333	5024.555556	5094.777778	2172	8174.222222	8721.555556	F	Trad	F_Trad
105	462	session-1	0.222222	1	11583.66667	12299.77778	4368.888889	4577.111111	2808.777778	1184	4406	6538.666667	F	Trad	F_Trad
106	463	session-0	0.444444	1	22233.77778	12759.22222	5673.444444	5269.777778	4774.333333	1901.444444	11786	5588	M	Trad	M_Trad
107	463	session-1	0.777778	1	15884	10585	4207.333333	4987.222222	2833.666667	1607.555556	8843	3990.222222	M	Trad	M_Trad
108	464	session-0	0.444444	1	28282.66667	21712	9425.888889	8453.333333	6605.666667	3721.888889	12251.11111	9536.777778	M	Trad	M_Trad
109	464	session-1	0.444444	0.888889	17531	18504.55556	6672.888889	7419.444444	4812.777778	3343.111111	6045.333333	7742	M	Trad	M_Trad
110	465	session-0	0.111111	1	25484.77778	19612.11111	7207.777778	7087.222222	6851.444444	3277.111111	11425.55556	9247.777778	F	Mod	F_Mod
111	465	session-1	0.333333	1	28797.88889	21241.88889	8692	8197.777778	8903.666667	3342.777778	11202.22222	9701.333333	F	Mod	F_Mod
112	467	session-0	0.666667	1	22088.11111	17970.33333	8706.555556	8047.333333	6815.444444	4442.777778	6566.111111	5480.222222	M	Trad	M_Trad
113	467	session-1	0.777778	1	20687.44444	13379.33333	6755.888889	6531.555556	5312.777778	2935.555556	8618.777778	3912.222222	M	Trad	M_Trad
114	468	session-0	0.333333	1	24983	16631.44444	7130.444444	5738.777778	7010.333333	2379.555556	10842.22222	8513.111111	M	Trad	M_Trad
115	468	session-1	0.555556	1	22747.11111	14854.66667	6303.333333	6237.111111	7708.444444	1965.888889	8735.333333	6651.666667	M	Trad	M_Trad
116	469	session-0	0.555556	1	23420.77778	18077.22222	8733.888889	7424.666667	7220.444444	4221.888889	7466.444444	6430.666667	M	Mod	M_Mod
117	469	session-1	0.444444	1	23684.11111	15968.22222	6718.888889	6758.222222	5051.555556	2899.666667	11913.66667	6310.333333	M	Mod	M_Mod
118	470	session-0	0.444444	1	19361.33333	16664.88889	5706.555556	6283.888889	4452.666667	3066.555556	9202.111111	7314.444444	M	Trad	M_Trad
119	470	session-1	0.555556	1	19275.88889	14126.88889	5614.222222	5794.777778	4947	2752.888889	8714.666667	5579.222222	M	Trad	M_Trad
120	502	session-0	0.333333	1	27602.11111	14167	6724.555556	5666.333333	5562.444444	2557.888889	15315.11111	5942.777778	F	Mod	F_Mod
121	502	session-1	0.333333	1	23903.33333	15386	7210	6412.666667	6454.555556	2616.555556	10238.77778	6356.777778	F	Mod	F_Mod
122	503	session-0	0.666667	1	23166	14992.88889	6789.666667	6848.666667	4952.555556	2668.555556	11423.77778	5475.666667	M	Mod	M_Mod
123	503	session-1	0.777778	1	16475.22222	11082.66667	4679.666667	4944.555556	4019.777778	2004.777778	7775.777778	4133.333333	M	Mod	M_Mod
124	571	session-0	0.222222	1	18852.44444	15576.88889	7477.555556	6624.888889	4372.111111	2816.555556	7002.777778	6135.444444	M	Mod	M_Mod
125	571	session-1	0.222222	1	24454	17723.44444	6384.222222	6048.333333	5154	2950.333333	12915.77778	8724.777778	M	Mod	M_Mod
126	572	session-0	0.444444	1	20390	17197.33333	8907.444444	8496.333333	4820.333333	3526.222222	6662.222222	5174.777778	F	Mod	F_Mod
127	572	session-1	0.888889	1	20206.77778	17394.77778	7561.777778	8763.555556	4867.888889	3127.111111	7777.111111	5504.111111	F	Mod	F_Mod
128	573	session-0	0	1	21892.66667	16992.22222	7024.333333	7980.111111	6966.888889	3499.555556	7901.444444	5512.555556	F	Mod	F_Mod
129	573	session-1	0.333333	1	28737.11111	19542.66667	10161.77778	9947.111111	7464.666667	3164.888889	11110.66667	6430.666667	F	Mod	F_Mod
130	574	session-0	0.444444	1	25199.44444	17113	6500	6423.555556	6467.666667	3427	12231.77778	7262.444444	F	Trad	F_Trad
131	574	session-1	0.777778	1	26340.11111	15359	5260.222222	5352	5703.888889	3094.444444	15376	6912.555556	F	Trad	F_Trad
133	577	session-0	0.444444	1	28923.88889	27722.33333	11939.33333	12232.66667	10960	10821.66667	6024.555556	4668	M	Trad	M_Trad
134	577	session-1	0.555556	1	15369.55556	12799.33333	5289.666667	4973	4731.777778	2435.555556	5348.111111	5390.777778	M	Trad	M_Trad
135	578	session-0	0.444444	1	27652.33333	17818.77778	7602.777778	7672.555556	11849.77778	3521.666667	8199.777778	6624.555556	M	Mod	M_Mod
136	578	session-1	0.444444	1	23314.88889	18198.11111	6631.222222	6958.777778	4687.222222	2746.555556	11996.44444	8492.777778	M	Mod	M_Mod
139	581	session-0	0.666667	1	21059.44444	15658.77778	6405.555556	6643	4332.444444	2908.444444	10321.44444	6107.333333	M	Trad	M_Trad
140	581	session-1	0.888889	1	15353.88889	11926.66667	4604.444444	5239.111111	3303.333333	1910.222222	7446.111111	4777.333333	M	Trad	M_Trad
141	582	session-0	0.333333	1	19717.22222	17247.66667	7927.888889	7632.222222	5182.888889	3790.444444	6606.444444	5825	F	Mod	F_Mod
142	582	session-1	0.555556	1	24200.33333	19093.44444	8450.333333	9507.555556	6065.444444	3516.111111	9684.555556	6069.777778	F	Mod	F_Mod
143	584	session-0	0.333333	1	20222.55556	14748.22222	6786.111111	6886.555556	5461.666667	2965.444444	7974.777778	4896.222222	F	Mod	F_Mod
144	584	session-1	0.111111	1	17289	13711.33333	5504.111111	6230.333333	6161.555556	2823.777778	5623.333333	4657.222222	F	Mod	F_Mod
145	585	session-0	0.555556	1	20128.33333	17230.44444	6480	8297.888889	4856.111111	2768.888889	8792.222222	6163.666667	M	Mod	M_Mod
146	585	session-1	0.444444	0.888889	20091.33333	16091.33333	6890.111111	7805.444444	4393	2896.555556	8808.222222	5389.333333	M	Mod	M_Mod
