,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
,GIF1,GIF2,GIF3,GIF4,GIF5,GIF6,GIF7,GIF8,GIF9,GIF10,GIF11,GIF12,GIF13,GIF14,GIF15,GIF16,GIF17,GIF18,GIF19,GIF1,GIF2,GIF3,GIF4,GIF5,GIF6,GIF7,GIF8,GIF9,GIF10,GIF11,GIF12,GIF13,GIF14,GIF15,GIF16,GIF17,GIF18,GIF19,GID Pre,GID Post
Physics_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3.0,4.0,2.0,2.0,1.0,3.0,2.0,,4.0,5.0,3.0,7.0,4.0,5.0,3.0,5.0,,5.0,5.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,5.0,4.0,4.0,3.0,7.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.7058823529411766,3.736842105263158
320,3.0,3.0,5.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.8333333333333335,4.111111111111111
321,2.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0,,4.0,2.0,4.0,,4.0,4.0,2.0,5.0,4.0,4.0,2.0,3.0,3.0,1.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,,,2.0,2.0,4.0,5.0,5.0,3.2941176470588234,2.8823529411764706
322,3.0,3.0,4.0,3.0,4.0,4.0,,4.0,4.0,5.0,3.0,,2.0,4.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,4.0,
323,3.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,2.0,2.0,,4.0,2.0,2.0,1.0,3.0,5.0,5.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,,5.0,2.0,2.0,2.0,3.0,5.0,5.0,3.2222222222222223,3.0
324,5.0,5.0,4.0,1.0,3.0,3.0,3.0,5.0,5.0,4.0,2.0,2.0,,3.0,2.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,,3.0,3.0,5.0,4.0,4.0,5.0,3.5555555555555554,3.4444444444444446
328,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,,3.0,2.0,,4.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,3.0,,2.0,,,2.0,2.0,,5.0,3.0,3.0,1.0,,5.0,5.0,3.0,2.7142857142857144
330,3.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0,4.0,2.0,7.0,5.0,4.0,4.0,1.0,5.0,5.0,5.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,5.0,5.0,4.0,2.0,7.0,5.0,4.0,3.0,2.0,5.0,5.0,5.0,3.736842105263158,3.736842105263158
331,3.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0,5.0,4.0,5.0,,5.0,5.0,3.6315789473684212,3.8333333333333335
333,3.0,4.0,,1.0,2.0,,2.0,5.0,5.0,4.0,2.0,,,2.0,3.0,1.0,5.0,5.0,5.0,3.0,5.0,,1.0,3.0,5.0,3.0,5.0,,4.0,3.0,,5.0,3.0,3.0,2.0,5.0,5.0,5.0,3.2666666666666666,3.75
339,3.0,4.0,4.0,2.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,0.0,2.0,5.0,3.0,2.0,4.0,5.0,5.0,3.0,7.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,4.111111111111111,3.8947368421052633
342,2.0,5.0,3.0,2.0,4.0,,3.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,1.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.222222222222222,3.8947368421052633
